[s],CH1[V]
-9.0698E-03,-3.640E+00
-9.0658E-03,-3.640E+00
-9.0617E-03,-3.640E+00
-9.0576E-03,-3.640E+00
-9.0535E-03,-3.560E+00
-9.0494E-03,-3.640E+00
-9.0454E-03,-3.560E+00
-9.0413E-03,-3.640E+00
-9.0372E-03,-3.640E+00
-9.0331E-03,-3.640E+00
-9.0290E-03,-3.640E+00
-9.0250E-03,-3.640E+00
-9.0209E-03,-3.560E+00
-9.0168E-03,-3.640E+00
-9.0127E-03,-3.640E+00
-9.0086E-03,-3.640E+00
-9.0046E-03,-3.640E+00
-9.0005E-03,-3.560E+00
-8.9964E-03,-3.640E+00
-8.9923E-03,-3.640E+00
-8.9882E-03,-3.560E+00
-8.9842E-03,-3.640E+00
-8.9801E-03,-3.640E+00
-8.9760E-03,-3.640E+00
-8.9719E-03,-3.640E+00
-8.9678E-03,-3.560E+00
-8.9638E-03,-3.640E+00
-8.9597E-03,-3.640E+00
-8.9556E-03,-3.560E+00
-8.9515E-03,-3.640E+00
-8.9474E-03,-3.640E+00
-8.9434E-03,-3.640E+00
-8.9393E-03,-3.640E+00
-8.9352E-03,-3.640E+00
-8.9311E-03,-3.640E+00
-8.9270E-03,-3.640E+00
-8.9230E-03,-3.560E+00
-8.9189E-03,-3.640E+00
-8.9148E-03,-3.640E+00
-8.9107E-03,-3.560E+00
-8.9066E-03,-3.640E+00
-8.9026E-03,-3.640E+00
-8.8985E-03,-3.560E+00
-8.8944E-03,-3.560E+00
-8.8903E-03,-3.560E+00
-8.8862E-03,-3.560E+00
-8.8822E-03,-3.560E+00
-8.8781E-03,-3.560E+00
-8.8740E-03,-3.560E+00
-8.8699E-03,-3.560E+00
-8.8658E-03,-3.560E+00
-8.8618E-03,-3.480E+00
-8.8577E-03,-3.560E+00
-8.8536E-03,-3.560E+00
-8.8495E-03,-3.480E+00
-8.8454E-03,-3.400E+00
-8.8414E-03,-3.320E+00
-8.8373E-03,-3.400E+00
-8.8332E-03,-3.160E+00
-8.8291E-03,-3.320E+00
-8.8250E-03,-3.240E+00
-8.8210E-03,-3.160E+00
-8.8169E-03,-3.400E+00
-8.8128E-03,-3.160E+00
-8.8087E-03,-3.320E+00
-8.8046E-03,-3.160E+00
-8.8006E-03,-3.320E+00
-8.7965E-03,-3.240E+00
-8.7924E-03,-3.080E+00
-8.7883E-03,-3.080E+00
-8.7842E-03,-3.000E+00
-8.7802E-03,-3.000E+00
-8.7761E-03,-3.080E+00
-8.7720E-03,-2.840E+00
-8.7679E-03,-2.840E+00
-8.7638E-03,-2.840E+00
-8.7598E-03,-2.840E+00
-8.7557E-03,-2.920E+00
-8.7516E-03,-2.840E+00
-8.7475E-03,-2.680E+00
-8.7434E-03,-2.840E+00
-8.7394E-03,-2.680E+00
-8.7353E-03,-2.680E+00
